X,Y,OBJECTID,PARK_NAME,AGE_RANGE,DATE_INSTALLED,COMMENTS,DATA_SOURCE
-75.1933990098668,39.932629557534,421,William Lanier Park,2_5_YEARS,2018/11/14 00:00:00+00,,"Google Street View 2018, Pictometry 2020"
-75.1280617332811,39.9834974913198,422,Hagert Street Playground,5_12_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1524992500605,40.0242065803088,423,Stenton Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Capital Plans"
-75.1194194354677,39.9950846307709,424,McPherson Square,5_12_YEARS,2012/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.1700516617768,40.065181355338,425,Charles M Finley Playground,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.0707756238754,40.0391580814432,426,Max Myers Playground,2_5_YEARS,2018/01/01 00:00:00+00,,"Capital Data 2019, Pictometry 2020"
-75.2147440453575,39.9918772457491,427,Belmont Grove,2_5_YEARS,1970/01/01 00:00:00+00,,"Google Street View 2016, Playground Equipment 2017, Pictometry 2020"
-75.2506976767499,39.9053733606383,428,Eastwick Regional Playground,5_12_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.1973510015064,39.9721326764959,429,Philadelphia Zoo,5_12_YEARS,1970/01/01 00:00:00+00,In Philadelphia Zoo,"Google Street View 2016, Pictometry 2020"
-74.9980366343887,40.0587742812065,430,Torresdale Recreation Center,2_5_YEARS,2019/01/01 00:00:00+00,,Pictometry 2020
-75.0671427142851,40.0805802469675,431,Verree and Susquehanna Playground,5_12_YEARS,1970/01/01 00:00:00+00,,"Pictometry 2020, Playground Equipment 2017"
-75.2310380867799,39.9771089551778,432,Charles A Baker Playground,2_5_YEARS,1970/01/01 00:00:00+00,,"Cyclomedia 2018, Playground Equipment 2017, Pictometry 2020"
-75.0901797638287,40.0688670979697,433,Burholme Park,2_5_YEARS,1970/01/01 00:00:00+00,,"Capital Plans, Playground Equipment 2017, Pictometry 2020"
-75.090002772144,40.0690680242459,434,Burholme Park,5_12_YEARS,1970/01/01 00:00:00+00,,"Capital Plans, Playground Equipment 2017, Pictometry 2020"
